Locality,Div_num,EngAll2012_13,EngAllr2013_14,EngAll2014_15,EngAll2015_16,EngAll2016_17,Eng4yr2012_13,Eng4yr2013_14,Eng4yr2014_15,Eng4yr2015_16,Eng4yr2016_17,Eng2yr2012_13,Eng2yr2013_14,Eng2yr2014_15,Eng2yr2015_16,Eng2yr2016_17,TotEngAll,TotEng2yr,TotEng4yr
Accomack County,1,3,2,3,2,5,3,2,3,2,5,0,0,0,0,0,15,0,15
Albemarle County,2,27,30,36,33,40,12,24,26,24,34,15,6,10,9,6,166,46,120
Alexandria city,101,36,37,38,29,36,23,24,25,17,24,13,13,13,12,12,176,63,113
Alleghany County,3,3,0,0,1,2,3,0,0,1,2,0,0,0,0,0,6,0,6
Amelia County,4,1,1,3,0,0,1,1,2,0,0,0,0,1,0,0,5,1,4
Amherst County,5,5,5,5,9,7,3,5,3,7,5,2,0,2,2,2,31,8,23
Appomattox County,6,1,1,0,4,0,1,1,0,3,0,0,0,0,1,0,6,1,5
Arlington County,7,35,34,56,47,48,24,30,39,34,41,11,4,17,13,7,220,52,168
Augusta County,8,8,8,11,12,10,8,7,10,12,8,0,1,1,0,2,49,4,45
Bath County,9,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,1
Bedford city,140,5,2,2,2,0,5,2,2,1,0,0,0,0,1,0,11,1,10
Bedford County,10,27,15,31,33,19,19,11,23,25,10,8,4,8,8,9,125,37,88
Bland County,11,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,0,2
Botetourt County,12,12,17,19,16,22,11,12,13,11,17,1,5,6,5,5,86,22,64
Bristol city,102,3,1,5,1,2,3,1,5,1,2,0,0,0,0,0,12,0,12
Brunswick County,13,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,3,0,3
Buchanan County,14,1,0,1,2,1,1,0,1,2,1,0,0,0,0,0,5,0,5
Buckingham County,15,2,1,0,1,0,1,1,0,1,0,1,0,0,0,0,4,1,3
Buena Vista city,103,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,2
Campbell County,16,11,11,12,9,11,5,8,7,7,6,6,3,5,2,5,54,21,33
Caroline County,17,4,3,3,2,1,4,3,2,1,1,0,0,1,1,0,13,2,11
Carroll County,18,4,2,0,3,0,4,2,0,3,0,0,0,0,0,0,9,0,9
Charles City County,19,0,2,1,1,0,0,2,1,1,0,0,0,0,0,0,4,0,4
Charlotte County,20,2,1,1,0,1,2,1,1,0,0,0,0,0,0,1,5,1,4
Charlottesville city,104,13,26,18,23,14,10,17,14,19,10,3,9,4,4,4,94,24,70
Chesapeake city,136,107,89,100,111,93,83,71,74,96,79,24,18,26,15,14,500,97,403
Chesterfield County,21,87,126,107,104,119,78,113,92,92,93,9,13,15,12,26,543,75,468
Clarke County,22,3,3,1,5,0,3,3,1,5,0,0,0,0,0,0,12,0,12
Colonial Heights city,106,4,8,4,6,9,4,8,4,6,9,0,0,0,0,0,31,0,31
Covington city,107,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,3,1,2
Craig County,23,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,2,0
Culpeper County,24,8,5,3,9,8,6,4,3,7,8,2,1,0,2,0,33,5,28
Cumberland County,25,1,1,0,0,4,1,1,0,0,3,0,0,0,0,1,6,1,5
Danville city,108,8,7,6,7,6,7,6,4,6,4,1,1,2,1,2,34,7,27
Dickenson County,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie County,27,5,2,3,3,3,5,2,3,1,3,0,0,0,2,0,16,2,14
Emporia city,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Essex County,28,1,0,5,1,1,1,0,5,1,1,0,0,0,0,0,8,0,8
Fairfax City,,31,30,30,28,37,27,27,28,23,34,4,3,2,5,3,156,17,139
Fairfax County,29,430,475,564,516,605,374,414,493,438,540,56,61,71,78,65,2590,331,2259
Falls Church city,109,10,13,11,12,9,7,9,9,9,6,3,4,2,3,3,55,15,40
Fauquier County,30,15,27,23,16,27,13,26,21,15,25,2,1,2,1,2,108,8,100
Floyd County,31,3,1,2,5,1,2,1,2,5,0,1,0,0,0,1,12,2,10
Fluvanna County,32,10,4,3,6,6,4,4,2,6,3,6,0,1,0,3,29,10,19
Franklin city,135,2,1,4,0,0,2,1,3,0,0,0,0,1,0,0,7,1,6
Franklin County,33,7,10,12,5,14,3,8,5,2,6,4,2,7,3,8,48,24,24
Frederick County,34,5,9,4,9,14,5,8,4,9,13,0,1,0,0,1,41,2,39
Fredericksburg city,110,14,11,11,12,9,12,8,9,7,1,2,3,2,5,8,57,20,37
Galax city,111,0,2,0,3,1,0,2,0,3,1,0,0,0,0,0,6,0,6
Giles County,35,1,3,5,2,4,1,3,4,2,4,0,0,1,0,0,15,1,14
Gloucester County,36,12,8,10,9,8,8,6,9,8,3,4,2,1,1,5,47,13,34
Goochland County,37,11,9,8,11,18,9,9,7,9,18,2,0,1,2,0,57,5,52
Grayson County,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene County,39,2,3,6,1,5,1,1,5,1,3,1,2,1,0,2,17,6,11
Greensville County,40,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,3,0,3
Halifax County,41,2,4,2,2,3,2,3,1,2,2,0,1,1,0,1,13,3,10
Hampton city,112,30,31,27,34,39,21,23,17,24,25,9,8,10,10,14,161,51,110
Hanover County,42,41,53,57,43,63,37,49,50,34,55,4,4,7,9,8,257,32,225
Harrisonburg city,113,5,3,7,7,7,5,3,7,7,6,0,0,0,0,1,29,1,28
Henrico County,43,72,107,89,105,116,60,86,75,90,101,12,21,14,15,15,489,77,412
Henry County,44,4,5,0,7,4,4,5,0,5,4,0,0,0,2,0,20,2,18
Highland County,45,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Hopewell city,114,3,0,3,3,0,3,0,3,3,0,0,0,0,0,0,9,0,9
Isle of Wight County,46,17,12,10,12,20,11,10,9,9,14,6,2,1,3,6,71,18,53
James City County,,14,21,26,35,27,13,17,23,30,22,1,4,3,5,5,123,18,105
King and Queen County,49,1,2,0,3,1,0,2,0,2,0,1,0,0,1,1,7,3,4
King George County,48,9,8,7,13,9,7,7,4,10,8,2,1,3,3,1,46,10,36
King William County,50,3,4,2,2,0,3,4,2,2,0,0,0,0,0,0,11,0,11
Lancaster County,51,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,3,0,3
Lee County,52,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Lexington city,137,1,1,3,1,1,1,1,3,1,1,0,0,0,0,0,7,0,7
Loudoun County,53,99,113,138,130,153,84,99,118,108,134,15,14,20,22,19,633,90,543
Louisa County,54,6,4,3,4,3,6,3,3,3,3,0,1,0,1,0,20,2,18
Lunenburg County,55,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,2
Lynchburg city,115,26,21,20,21,22,19,15,17,19,21,7,6,3,2,1,110,19,91
Madison County,56,3,2,3,5,3,2,2,2,4,0,1,0,1,1,3,16,6,10
Manassas city,143,30,29,24,36,27,26,19,20,28,23,4,10,4,8,4,146,30,116
Manassas Park city,144,6,1,1,6,6,5,0,1,6,4,1,1,0,0,2,20,4,16
Martinsville city,116,3,1,2,1,4,3,0,2,1,4,0,1,0,0,0,11,1,10
Mathews County,57,4,7,6,3,2,2,7,6,3,2,2,0,0,0,0,22,2,20
Mecklenburg County,58,2,2,4,1,1,2,2,4,1,1,0,0,0,0,0,10,0,10
Middlesex County,59,3,0,2,1,2,3,0,2,1,2,0,0,0,0,0,8,0,8
Montgomery County,60,71,93,80,63,79,65,87,74,59,74,6,6,6,4,5,386,27,359
Nelson County,62,1,2,2,2,5,1,2,2,2,4,0,0,0,0,1,12,1,11
New Kent County,63,2,4,3,4,2,1,3,3,2,2,1,1,0,2,0,15,4,11
Newport News city,117,39,55,36,52,43,25,38,22,44,30,14,17,14,8,13,225,66,159
Norfolk city,118,38,56,63,64,54,27,48,52,49,43,11,8,11,15,11,275,56,219
Northampton County,65,3,1,3,0,0,2,1,2,0,0,1,0,1,0,0,7,2,5
Northumberland County,66,1,0,2,1,1,1,0,2,1,1,0,0,0,0,0,5,0,5
Norton city,119,3,2,1,2,1,0,1,0,2,0,3,1,1,0,1,9,6,3
Nottoway County,67,0,0,1,1,2,0,0,0,1,1,0,0,1,0,1,4,2,2
Orange County,68,11,4,0,4,10,8,3,0,3,7,3,1,0,1,3,29,8,21
Page County,69,1,0,1,1,5,1,0,1,1,5,0,0,0,0,0,8,0,8
Patrick County,70,3,1,1,0,0,3,1,1,0,0,0,0,0,0,0,5,0,5
Petersburg city,120,3,3,5,5,5,3,3,5,5,5,0,0,0,0,0,21,0,21
Pittsylvania County,71,4,9,4,3,2,4,7,1,2,2,0,2,3,1,0,22,6,16
Poquoson city,142,18,12,11,15,8,14,11,9,13,5,4,1,2,2,3,64,12,52
Portsmouth city,121,10,22,13,15,20,7,15,10,14,14,3,7,3,1,6,80,20,60
Powhatan County,72,7,8,7,16,13,5,7,4,14,13,2,1,3,2,0,51,8,43
Prince Edward County,73,8,1,2,1,0,7,1,2,1,0,1,0,0,0,0,12,1,11
Prince George County,74,3,5,5,4,8,1,5,5,2,6,2,0,0,2,2,25,6,19
Prince William County,75,84,102,93,130,145,66,79,71,103,108,18,23,22,27,37,554,127,427
Pulaski County,77,8,0,3,1,5,7,0,2,1,5,1,0,1,0,0,17,2,15
Radford city,122,4,2,3,2,2,4,2,3,2,2,0,0,0,0,0,13,0,13
Rappahannock County,78,0,2,3,4,4,0,2,3,4,4,0,0,0,0,0,13,0,13
Richmond city,123,40,22,23,31,26,32,16,18,25,20,8,6,5,6,6,142,31,111
Richmond County,79,0,2,1,5,0,0,1,1,5,0,0,1,0,0,0,8,1,7
Roanoke city,124,10,9,4,9,11,7,3,3,6,7,3,6,1,3,4,43,17,26
Roanoke County,80,23,40,27,24,27,14,21,16,15,17,9,19,11,9,10,141,58,83
Rockbridge County,81,3,2,4,5,1,3,2,4,4,1,0,0,0,1,0,15,1,14
Rockingham County,82,9,14,9,12,11,9,13,9,12,11,0,1,0,0,0,55,1,54
Russell County,83,1,2,0,2,1,0,2,0,2,1,1,0,0,0,0,6,1,5
Salem city,139,8,11,14,13,10,6,7,7,7,6,2,4,7,6,4,56,23,33
Scott County,84,1,2,1,4,3,1,2,1,4,2,0,0,0,0,1,11,1,10
Shenandoah County,85,4,1,2,3,4,4,1,2,3,3,0,0,0,0,1,14,1,13
Smyth County,86,0,3,1,1,4,0,3,1,1,4,0,0,0,0,0,9,0,9
Southampton County,87,1,1,3,0,1,1,1,3,0,0,0,0,0,0,1,6,1,5
Spotsylvania County,88,25,31,25,19,32,21,27,19,17,29,4,4,6,2,3,132,19,113
Stafford County,89,41,33,50,49,49,35,26,38,42,35,6,7,12,7,14,222,46,176
Staunton city,126,6,3,2,4,5,5,3,2,4,5,1,0,0,0,0,20,1,19
Suffolk city,127,16,20,18,24,23,10,12,14,19,23,6,8,4,5,0,101,23,78
Surry County,90,2,1,0,3,1,1,1,0,3,1,1,0,0,0,0,7,1,6
Sussex County,91,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,2
Tazewell County,92,1,2,2,6,2,1,2,2,6,1,0,0,0,0,1,13,1,12
Virginia Beach city,128,145,136,151,185,174,120,110,117,133,124,25,26,34,52,50,791,187,604
Warren County,93,5,7,7,5,7,5,7,6,5,7,0,0,1,0,0,31,1,30
Washington County,94,3,2,3,2,5,2,2,3,2,4,1,0,0,0,1,15,2,13
Waynesboro city,130,0,5,2,4,6,0,5,2,3,6,0,0,0,1,0,17,1,16
Westmoreland County,95,3,3,0,1,2,2,3,0,1,1,1,0,0,0,1,9,2,7
Williamsburg city,131,3,2,6,2,3,3,2,6,2,1,0,0,0,0,2,16,2,14
Winchester city,132,14,12,11,5,7,14,11,11,5,7,0,1,0,0,0,49,1,48
Wise County,96,1,1,2,4,5,1,1,1,4,3,0,0,1,0,2,13,3,10
Wythe County,97,2,5,0,0,1,2,5,0,0,1,0,0,0,0,0,8,0,8
York County,98,37,44,44,43,48,30,36,39,35,30,7,8,5,8,18,216,46,170
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
